cell_id,dataset,condition,realization,order,status,artifact_complete,missing_checkpoints,scientific_admission,endpoint_complete,invalid_reason,endpoint_complete_scope,primary_metrics_complete,full_validation_complete,sampled_drift_complete,unreceipted_checkpoints
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
deb5f473d9ca2ed544926204,zsre,R1_nonlearned,0,104,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
0b6ade77641a02c1c85574b0,counterfact,R1_nonlearned,0,100,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
ee67c592789829e7dd808ede,counterfact,R1_nonlearned,0,101,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
8be432675ed4dc57f9108bd4,counterfact,R1_nonlearned,0,102,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
78928f2782d91d888ef24d52,counterfact,R1_nonlearned,0,103,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
de785feed05c9f4c2a9e9273,counterfact,R1_nonlearned,0,104,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
de0b9612418e6d573ed77679,mquake,R1_nonlearned,0,100,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
be37e2a1ff4a079e56efe268,mquake,R1_nonlearned,0,101,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
1e6b766c4139230c18547234,mquake,R1_nonlearned,0,102,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
c0a54c5fbf1ce7776efc983e,mquake,R1_nonlearned,0,103,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
7499c19b813dcada2c67ae39,mquake,R1_nonlearned,0,104,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
39c7fd4929721e8dcba56b94,zsre,v0_stable,0,100,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
b887b1046cd563d990765e01,zsre,v0_stable,0,101,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
435235a6719279d1cc87ad66,zsre,v0_stable,0,102,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
aaed1cf9e8ce7cf1cf3749fa,zsre,v0_stable,0,103,complete_artifacts,True,[],True,True,unavailable,full_validation AND sampled_drift only,True,True,True,[]
