status,value,passes,operator,threshold,role,reason,dataset,condition,metric,planned_cells,available_cells,failed_cells,realization_estimates,interval95,uncertainty,equivalence
complete,-0.13133333,False,ge,-0.05,secondary_descriptive,unavailable,zsre,R1_nonlearned,retention_change,15,15,"[""f3dbf1a3d5860a628e7d68ef"",""be44dfb501724b72adcbd747"",""5263d61e569d7cb4ceb4e617"",""81b1e9cb4e216a6cd1cd565a"",""deb5f473d9ca2ed544926204"",""82606602ae475e73eb4401f9"",""2172052824abd70e8135366f"",""5c394f4861164c1d5b31de4c"",""c9d2325e783e57ac5eafa34d"",""3fdc7c12d6d583f46608eac6"",""13465e8d0dc3824fced8e891"",""24840672cf1682dd450fdcd2"",""12a6e3e550a7939c6d79349d"",""fa5b51891eb78dc707e6471f"",""861810fbdd6ebe7502383382""]","[-0.124,-0.12999999999999998,-0.13999999999999996]","{""confidence"":0.95,""lower"":-0.13999999999999996,""upper"":-0.124}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0,True,ge,-0.02,secondary_descriptive,unavailable,zsre,R1_nonlearned,es_change,15,15,[],"[0.0,0.0,0.0]","{""confidence"":0.95,""lower"":0.0,""upper"":0.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.0066666667,True,ge,-0.01,secondary_descriptive,unavailable,zsre,R1_nonlearned,ls_change,15,15,"[""f3dbf1a3d5860a628e7d68ef"",""be44dfb501724b72adcbd747"",""5263d61e569d7cb4ceb4e617"",""81b1e9cb4e216a6cd1cd565a"",""deb5f473d9ca2ed544926204""]","[-0.020000000000000018,0.0,0.0]","{""confidence"":0.95,""lower"":-0.020000000000000018,""upper"":0.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_nonlearned,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_nonlearned,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_nonlearned,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_stable,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_stable,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0.033333333,False,ge,0.95,secondary_descriptive,unavailable,zsre,v0_stable,revision_latest,15,15,"[""39c7fd4929721e8dcba56b94"",""b887b1046cd563d990765e01"",""435235a6719279d1cc87ad66"",""aaed1cf9e8ce7cf1cf3749fa"",""92a5ef6855124ffc5a8d6163"",""3b70d3d44297fc1197610228"",""84bae28d26e5f5a3e555b601"",""07b9bad1f676110cb8bae7df"",""0ff8a61a760d6836f469629b"",""40034291ac69439c82ae1fc3"",""dc17fc3637068157dba0207d"",""727b32ab9723cb9feba71636"",""a02980b0886a222f8e2f58e8"",""9aeb330f6c7e29c85ee56da0"",""0e0ee9a35e1116f7dafb423d""]","[0.02,0.06,0.02]","{""confidence"":0.95,""lower"":0.02,""upper"":0.06}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_stable,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_stable,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.25173333,False,ge,-0.05,secondary_descriptive,unavailable,zsre,v0_stable,retention_change,15,15,"[""39c7fd4929721e8dcba56b94"",""b887b1046cd563d990765e01"",""435235a6719279d1cc87ad66"",""aaed1cf9e8ce7cf1cf3749fa"",""92a5ef6855124ffc5a8d6163"",""3b70d3d44297fc1197610228"",""84bae28d26e5f5a3e555b601"",""07b9bad1f676110cb8bae7df"",""0ff8a61a760d6836f469629b"",""40034291ac69439c82ae1fc3"",""dc17fc3637068157dba0207d"",""727b32ab9723cb9feba71636"",""a02980b0886a222f8e2f58e8"",""9aeb330f6c7e29c85ee56da0"",""0e0ee9a35e1116f7dafb423d""]","[-0.2798,-0.2446,-0.23079999999999998]","{""confidence"":0.95,""lower"":-0.2798,""upper"":-0.23079999999999998}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.00013333333,True,ge,-0.02,secondary_descriptive,unavailable,zsre,v0_stable,es_change,15,15,[],"[0.0,-0.00040000000000000034,0.0]","{""confidence"":0.95,""lower"":-0.00040000000000000034,""upper"":0.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.012,False,ge,-0.01,secondary_descriptive,unavailable,zsre,v0_stable,ls_change,15,15,"[""07b9bad1f676110cb8bae7df"",""0ff8a61a760d6836f469629b"",""40034291ac69439c82ae1fc3"",""dc17fc3637068157dba0207d"",""727b32ab9723cb9feba71636"",""9aeb330f6c7e29c85ee56da0""]","[0.01200000000000001,-0.03600000000000001,-0.01200000000000001]","{""confidence"":0.95,""lower"":-0.03600000000000001,""upper"":0.01200000000000001}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_stable,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_stable,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_stable,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
