status,value,passes,operator,threshold,role,reason,dataset,condition,metric,planned_cells,available_cells,failed_cells,realization_estimates,interval95,uncertainty,equivalence
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff_v2,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff_v2,retention_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff_v2,es_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff_v2,ls_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff_v2,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff_v2,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff_v2,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0.0033333333,True,le,0.15,secondary_descriptive,unavailable,counterfact,R1_learned_ff,unseen_1000,15,15,[],"[0.0,0.0,0.01]","{""confidence"":0.95,""lower"":0.0,""upper"":0.01}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0.0033333333,True,abs_le,0.05,secondary_descriptive,unavailable,counterfact,R1_learned_ff,outside_change_1000_100,15,15,[],"[0.0,0.0,0.01]","{""confidence"":0.95,""lower"":0.0,""upper"":0.01}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",True
complete,0.98666667,True,ge,0.95,secondary_descriptive,unavailable,counterfact,R1_learned_ff,revision_latest,15,15,[],"[1.0,0.9800000000000001,0.9800000000000001]","{""confidence"":0.95,""lower"":0.9800000000000001,""upper"":1.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0.0066666667,True,le,0.02,secondary_descriptive,unavailable,counterfact,R1_learned_ff,old_alias_reappearance,15,15,[],"[0.0,0.02,0.0]","{""confidence"":0.95,""lower"":0.0,""upper"":0.02}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0.98666667,True,ge,0.95,secondary_descriptive,unavailable,counterfact,R1_learned_ff,revision_semantic,15,15,[],"[1.0,0.9800000000000001,0.9800000000000001]","{""confidence"":0.95,""lower"":0.9800000000000001,""upper"":1.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.10133333,False,ge,-0.05,secondary_descriptive,unavailable,counterfact,R1_learned_ff,retention_change,15,15,"[""ce0d0ffc2a58a60e27c460d9"",""95dfb24c6361b2d38dd60e9b"",""6d0915056b1e76d8ee8795ff"",""7c9675a69d832a772070cb2d"",""95016bc16e89cfcccccc40b8"",""14d45f0e87126104057518af"",""960d0adeb6cacfcfce93d546"",""6840a40e6e5c90bdc40b89b0"",""42ba32e4f07423bee03296b3"",""fa46e16c8436f7ea4a5c3f06"",""162686f6303fe986619d236d"",""029ecd260f3e085063714d3f"",""7197775fb7f97a465fd3310e"",""6de7e97b6cb167d048dc31ba""]","[-0.11549999999999998,-0.07599999999999996,-0.11250000000000002]","{""confidence"":0.95,""lower"":-0.11549999999999998,""upper"":-0.07599999999999996}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.0070666667,True,ge,-0.02,secondary_descriptive,unavailable,counterfact,R1_learned_ff,es_change,15,15,[],"[-0.008600000000000007,-0.0064000000000000055,-0.006200000000000006]","{""confidence"":0.95,""lower"":-0.008600000000000007,""upper"":-0.006200000000000007}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.010666667,False,ge,-0.01,secondary_descriptive,unavailable,counterfact,R1_learned_ff,ls_change,15,15,"[""fa46e16c8436f7ea4a5c3f06"",""162686f6303fe986619d236d"",""029ecd260f3e085063714d3f"",""7197775fb7f97a465fd3310e"",""6de7e97b6cb167d048dc31ba""]","[0.0040000000000000036,0.0,-0.03600000000000003]","{""confidence"":0.95,""lower"":-0.03600000000000003,""upper"":0.0040000000000000036}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,R1_learned_ff,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,R1_learned_ff,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,R1_learned_ff,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,1,False,le,0.15,secondary_descriptive,unavailable,counterfact,R1_nonlearned,unseen_1000,15,15,"[""0b6ade77641a02c1c85574b0"",""ee67c592789829e7dd808ede"",""8be432675ed4dc57f9108bd4"",""78928f2782d91d888ef24d52"",""de785feed05c9f4c2a9e9273"",""a7d551c093fd3333314813a5"",""c402523c2460a62d6040ddd0"",""b103826472ba7653cd8fd13a"",""525ad705ad7008ed3ea378eb"",""8a4bcb6e358e98c523b0d0c3"",""6ed2474713b3a311b4ec6b08"",""f939f211b98675ac7c2d951f"",""19b5e9b462930c6f50f2e2f6"",""b14576e3d752f467db2abf18"",""da9f71bdb9a8981dac078e6c""]","[1.0,1.0,1.0]","{""confidence"":0.95,""lower"":1.0,""upper"":1.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0.086,False,abs_le,0.05,secondary_descriptive,unavailable,counterfact,R1_nonlearned,outside_change_1000_100,15,15,"[""0b6ade77641a02c1c85574b0"",""ee67c592789829e7dd808ede"",""8be432675ed4dc57f9108bd4"",""78928f2782d91d888ef24d52"",""de785feed05c9f4c2a9e9273"",""a7d551c093fd3333314813a5"",""c402523c2460a62d6040ddd0"",""b103826472ba7653cd8fd13a"",""525ad705ad7008ed3ea378eb"",""6ed2474713b3a311b4ec6b08"",""f939f211b98675ac7c2d951f"",""19b5e9b462930c6f50f2e2f6""]","[0.08800000000000001,0.08199999999999999,0.088]","{""confidence"":0.95,""lower"":0.08199999999999999,""upper"":0.08800000000000001}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",False
complete,1,True,ge,0.95,secondary_descriptive,unavailable,counterfact,R1_nonlearned,revision_latest,15,15,[],"[1.0,1.0,1.0]","{""confidence"":0.95,""lower"":1.0,""upper"":1.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0.18666667,False,le,0.02,secondary_descriptive,unavailable,counterfact,R1_nonlearned,old_alias_reappearance,15,15,"[""0b6ade77641a02c1c85574b0"",""ee67c592789829e7dd808ede"",""8be432675ed4dc57f9108bd4"",""78928f2782d91d888ef24d52"",""de785feed05c9f4c2a9e9273"",""a7d551c093fd3333314813a5"",""c402523c2460a62d6040ddd0"",""b103826472ba7653cd8fd13a"",""525ad705ad7008ed3ea378eb"",""8a4bcb6e358e98c523b0d0c3"",""6ed2474713b3a311b4ec6b08"",""f939f211b98675ac7c2d951f"",""19b5e9b462930c6f50f2e2f6"",""b14576e3d752f467db2abf18"",""da9f71bdb9a8981dac078e6c""]","[0.16,0.18,0.22000000000000003]","{""confidence"":0.95,""lower"":0.16,""upper"":0.22000000000000006}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,1,True,ge,0.95,secondary_descriptive,unavailable,counterfact,R1_nonlearned,revision_semantic,15,15,[],"[1.0,1.0,1.0]","{""confidence"":0.95,""lower"":1.0,""upper"":1.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.057833333,False,ge,-0.05,secondary_descriptive,unavailable,counterfact,R1_nonlearned,retention_change,15,15,"[""0b6ade77641a02c1c85574b0"",""ee67c592789829e7dd808ede"",""78928f2782d91d888ef24d52"",""a7d551c093fd3333314813a5"",""c402523c2460a62d6040ddd0"",""b103826472ba7653cd8fd13a"",""525ad705ad7008ed3ea378eb"",""6ed2474713b3a311b4ec6b08"",""b14576e3d752f467db2abf18""]","[-0.06800000000000002,-0.06100000000000001,-0.0445]","{""confidence"":0.95,""lower"":-0.06800000000000002,""upper"":-0.044500000000000005}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0,True,ge,-0.02,secondary_descriptive,unavailable,counterfact,R1_nonlearned,es_change,15,15,[],"[0.0,0.0,0.0]","{""confidence"":0.95,""lower"":0.0,""upper"":0.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,-0.116,False,ge,-0.01,secondary_descriptive,unavailable,counterfact,R1_nonlearned,ls_change,15,15,"[""0b6ade77641a02c1c85574b0"",""8be432675ed4dc57f9108bd4"",""78928f2782d91d888ef24d52"",""de785feed05c9f4c2a9e9273"",""a7d551c093fd3333314813a5"",""c402523c2460a62d6040ddd0"",""b103826472ba7653cd8fd13a"",""525ad705ad7008ed3ea378eb"",""8a4bcb6e358e98c523b0d0c3"",""6ed2474713b3a311b4ec6b08"",""f939f211b98675ac7c2d951f"",""19b5e9b462930c6f50f2e2f6"",""b14576e3d752f467db2abf18"",""da9f71bdb9a8981dac078e6c""]","[-0.064,-0.096,-0.188]","{""confidence"":0.95,""lower"":-0.18800000000000003,""upper"":-0.064}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,R1_nonlearned,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,R1_nonlearned,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,R1_nonlearned,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_stable,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_stable,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0,False,ge,0.95,secondary_descriptive,unavailable,counterfact,v0_stable,revision_latest,15,15,"[""baa601113af675024e73bc30"",""b6b271f3383f85fb19e49836"",""6c0124a2d35b8b4bf8d2a321"",""37c2ba2be995719ac8972cf1"",""d93ed5de9d4401cb3345c7bd"",""6d8d11dbbbc7b736c6386bca"",""cefda69ce81ca1253435bac7"",""e42cd6f9b5b86feb491512f6"",""e0f2bb19e19594c972c0ef15"",""0d4d946cb9ff28b7e6af3c4d"",""862cd40c359e48e5a7998e3f"",""89b258fddde381d9a09429d9"",""090d1237381f4ee02fcbd05d"",""6e95ec72097ffded952889d6"",""c8ce51b334cc3e42a623be6c""]","[0.0,0.0,0.0]","{""confidence"":0.95,""lower"":0.0,""upper"":0.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_stable,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_stable,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0,True,ge,-0.05,secondary_descriptive,unavailable,counterfact,v0_stable,retention_change,15,15,[],"[0.0,0.0,0.0]","{""confidence"":0.95,""lower"":0.0,""upper"":0.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0,True,ge,-0.02,secondary_descriptive,unavailable,counterfact,v0_stable,es_change,15,15,[],"[0.0,0.0,0.0]","{""confidence"":0.95,""lower"":0.0,""upper"":0.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
complete,0,True,ge,-0.01,secondary_descriptive,unavailable,counterfact,v0_stable,ls_change,15,15,[],"[0.0,0.0,0.0]","{""confidence"":0.95,""lower"":0.0,""upper"":0.0}","nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_stable,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_stable,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_stable,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,revision_latest,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,retention_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,es_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,ls_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,matched_update,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,revision_latest,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,retention_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,es_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,ls_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C1,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,revision_latest,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,retention_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,es_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,ls_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,v0_live_C2,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,revision_latest,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,retention_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,es_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,ls_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_LM,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_literal,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_literal,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_literal,revision_latest,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_literal,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_literal,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_literal,retention_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete independent three-realization/five-order populations required,counterfact,S1_literal,es_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
