cell_id,dataset,condition,realization,order,block,charged_process_seconds,uncovered_driver_seconds,failures,retries,unknown_cost,parent_decision_present,finish
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1,4423.990700837981,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/61348508e40d54351613ab14-f23c523edbaf4d1da5800fd55845e1c8/finish.json"", ""sha256"": ""39caa5ff8d3e2c25508d95c4e6bc2875fd701841a7fd4be1b6b63c49eb2a1d79"", ""wall_seconds"": 4423.990700837981}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1,4482.811622688023,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/88af67fa5945b642e8ba7974-d55ab7efa14349f387be54a1f1355d4e/finish.json"", ""sha256"": ""db61f7874eebc59a6bf42f5365c850b84edbe8e808d39bc7988eb1f0653f0b0f"", ""wall_seconds"": 4482.811622688023}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,1,4432.927677090978,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/915f97b05f3fa2a81de09cdf-52d4a4c4d5a14db18b73540628977fa3/finish.json"", ""sha256"": ""5236081b4ee87f3fa0274b19ae1a2fa2ca7d91e4dc04edb23cbb395a3bac6da7"", ""wall_seconds"": 4432.927677090978}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,1,4447.439345780993,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/4aa4849ba414edab2504f56b-0228ab3cc0ea4029ba549fb4ae31c749/finish.json"", ""sha256"": ""03533a9c9facffa9423d4c05f63fc37cc9e61b1920ee4056ddebcc07fded3502"", ""wall_seconds"": 4447.439345780993}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,1,4446.943219257984,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/9ebc93cc7912bd5d1c929418-b6729c452eb14a1a8550fc5375ca0f80/finish.json"", ""sha256"": ""3ece90cdc2b9c9c7193878bf7079058f1b89aa6553c4d42996ee4ec8da120693"", ""wall_seconds"": 4446.943219257984}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,1,4270.604288453003,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/ce0d0ffc2a58a60e27c460d9-96ddd46968c348b682884ebc71c6f787/finish.json"", ""sha256"": ""c5d65097c3284773c0d2e89e821c1ce5819a406f53ee4c4022686f55648f4d30"", ""wall_seconds"": 4270.604288453003}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,1,4273.246878374019,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/95dfb24c6361b2d38dd60e9b-8839ad4c4a4a4055bade5fb9f7750397/finish.json"", ""sha256"": ""ffbbeaa86515935aa26c99e769c458b8604be3dd95e38a028dd148fa994b1b87"", ""wall_seconds"": 4273.246878374019}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,1,4306.358127583982,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/6d0915056b1e76d8ee8795ff-f64839e4e5a74a52b0478260a039089e/finish.json"", ""sha256"": ""9a6dc74c76d1c487765c284de38bfeddc21359af4016c68f7b41a16f382132e9"", ""wall_seconds"": 4306.358127583982}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,1,4245.706411340041,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/7c9675a69d832a772070cb2d-786a129810424b2c9828081db63189c8/finish.json"", ""sha256"": ""233ba844007b6ec9ac05d0dae073493fc201d4f5b464d2d5e830a8ff0f1d2449"", ""wall_seconds"": 4245.706411340041}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,1,4241.528217290004,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/95016bc16e89cfcccccc40b8-84e917aaf15f4bc99f573be87ad01148/finish.json"", ""sha256"": ""63fee161a8239a7f85c17955bd1a7219edf8f1ed0cf82fcf7da0274e824b1225"", ""wall_seconds"": 4241.528217290004}"
