step,tokens_seen,stage_index,T,error_lr,tau,tracking_residual,tracking_residual_skipped,pc_grad_norm,inner_energy_start,inner_energy_end,inner_grad_norm_last,bp_loss,pc_loss,hold,hold_ema,hold_baseline,hold_threshold,hold_reason,stage_end_step,pending_hold_steps,step_seconds
0,5120,0,1,0.1,0.1,22.4214211641538,False,7.1936860877030995e-06,0.0,2.24214211641538e-08,3.3106081787082076e-07,0.0,2.2421422940510638e-08,False,0.0,0.0,0.0,,1396,0,8.348467350006104
1,10240,0,1,0.1,0.1,0.3934776023607433,False,0.00207785633392632,5.151137116854443e-08,2.0268570821713183e-08,1.585058453201782e-05,5.151137116854443e-08,2.0271476941502442e-08,False,0.0,0.0,0.0,,1396,0,0.7001817226409912
2,15360,0,1,0.1,0.1,0.9923550849550729,False,0.01593911647796631,5.348649665393168e-06,5.307759693096159e-06,0.0002322250948054716,5.348649665393168e-06,5.307832452672301e-06,False,0.0,0.0,0.0,,1396,0,0.7017707824707031
3,20480,0,1,0.1,0.1,0.9980269665680069,False,0.017157699912786484,9.379206858284306e-06,9.360701369587332e-06,0.0002722404897212982,9.379206858284306e-06,9.360790500068106e-06,False,0.0,0.0,0.0,,1396,0,0.7018203735351562
4,25600,0,1,0.1,0.1,0.9999731108554556,False,0.008038748055696487,3.0272356070781825e-06,3.027154207302374e-06,0.00013694229710381478,3.0272356070781825e-06,3.027201955774217e-06,False,0.0,0.0,0.0,,1396,0,0.7028477191925049
5,30720,0,1,0.1,0.1,0.9919381908375838,False,0.029413778334856033,7.119316705939127e-06,7.061922133289045e-06,0.00028220328385941684,7.119316705939127e-06,7.061967608024133e-06,False,0.0,0.0,0.0,,1396,0,0.7026798725128174
6,35840,0,1,0.1,0.1,0.9931641828299725,False,0.008418086916208267,3.153613533868338e-06,3.1320560083258897e-06,0.0001277194096473977,3.153613533868338e-06,3.1321123969973996e-06,False,0.0,0.0,0.0,,1396,0,0.7033014297485352
7,40960,0,1,0.1,0.1,0.9878949867171551,False,0.007161055691540241,3.3323308343824465e-06,3.2919929253694136e-06,0.00021920811559539288,3.3323308343824465e-06,3.2920488592935726e-06,False,0.0,0.0,0.0,,1396,0,0.7038629055023193
8,46080,0,1,0.1,0.1,0.9424626515291953,False,0.01508124265819788,5.7745537560549565e-06,5.442301244329428e-06,0.0005771840224042535,5.7745537560549565e-06,5.442270776256919e-06,False,0.0,0.0,0.0,,1396,0,0.704547643661499
9,51200,0,1,0.1,0.1,0.9852247566705166,False,0.015965478494763374,8.940785846789367e-06,8.808683560346253e-06,0.00045969648635946214,8.940785846789367e-06,8.808703569229692e-06,False,0.0,0.0,0.0,,1396,0,0.705193281173706
10,56320,0,1,0.1,0.1,0.9953235464250425,False,0.03391600772738457,1.2122372936573811e-05,1.2065683222317602e-05,0.00035688813659362495,1.2122372936573811e-05,1.2065740520483814e-05,False,0.0,0.0,0.0,,1396,0,0.7044670581817627
11,61440,0,1,0.1,0.1,0.7302927264654446,False,0.020448558032512665,1.4453413314186037e-05,1.0555222615948878e-05,0.0013177728978917003,1.4453413314186037e-05,1.0555188055150211e-05,False,0.0,0.0,0.0,,1396,0,0.7043676376342773
12,66560,0,1,0.1,0.1,0.9394547440601018,False,0.013548853807151318,8.101378625724465e-06,7.610878583363956e-06,0.0006867537158541381,8.101378625724465e-06,7.610857664985815e-06,False,0.0,0.0,0.0,,1396,0,0.7057363986968994
13,71680,0,1,0.1,0.1,0.9917444948938141,False,0.011978200636804104,6.992710495978827e-06,6.934982138773194e-06,0.00021135462156962603,6.992710495978827e-06,6.9350426201708615e-06,False,0.0,0.0,0.0,,1396,0,0.7047429084777832
14,76800,0,1,0.1,0.1,0.9953306069887068,False,0.014747985638678074,9.54859842750011e-06,9.504012268735096e-06,0.00022930068371351808,9.54859842750011e-06,9.504071385890711e-06,False,0.0,0.0,0.0,,1396,0,0.7059900760650635
15,81920,0,1,0.1,0.1,0.9898169910766058,False,0.06763054430484772,1.8225782696390525e-05,1.8040189388557337e-05,0.0005476091173477471,1.8225782696390525e-05,1.8040167560684495e-05,False,0.0,0.0,0.0,,1396,0,0.7053077220916748
16,87040,0,1,0.1,0.1,0.9944748987064763,False,0.02742498181760311,1.1963134056713898e-05,1.189703652926255e-05,0.0003859401331283152,1.1963134056713898e-05,1.1897068361577112e-05,False,0.0,0.0,0.0,,1396,0,0.7052593231201172
17,92160,0,1,0.1,0.1,0.9190876960545684,False,0.007212941534817219,5.009845608583419e-06,4.604487457982032e-06,0.0006116395234130323,5.009845608583419e-06,4.604510650096927e-06,False,0.0,0.0,0.0,,1396,0,0.7060360908508301
18,97280,0,1,0.1,0.1,0.9668611863181853,False,0.01116173341870308,7.3776959652605e-06,7.133207873266656e-06,0.0005553550436161458,7.3776959652605e-06,7.133204235287849e-06,False,0.0,0.0,0.0,,1396,0,0.705796480178833
19,102400,0,1,0.1,0.1,0.9907820332000378,False,0.01741105318069458,1.1110122613899875e-05,1.1007709872501437e-05,0.0004862297500949353,1.1110122613899875e-05,1.1007718967448454e-05,False,0.0,0.0,0.0,,1396,0,0.7055907249450684
20,107520,0,1,0.1,0.1,0.9540214273754977,False,0.04132470488548279,3.5330238461028785e-05,3.3705804526107386e-05,0.0012500460725277662,3.5330238461028785e-05,3.3705768146319315e-05,False,0.0,0.0,0.0,,1396,0,0.7065539360046387
