dataset,condition,processes,process_hours,mean_process_seconds,unknown_records,failures
counterfact,R1_learned_ff,5,5.927067756400292,4267.48878460821,0,0
counterfact,R1_nonlearned,5,2.945294341251946,2120.611925701401,0,0
counterfact,v0_stable,5,13.450194420723047,9684.139982920595,0,0
mquake,R1_learned_ff,5,2.9177453350330245,2100.7766412237775,0,0
mquake,R1_nonlearned,5,1.8490729207800016,1331.3325029616012,0,0
mquake,v0_stable,5,4.0081901455702775,2885.8969048105996,0,0
zsre,R1_learned_ff,5,6.176142379348878,4446.822513131192,0,0
zsre,R1_nonlearned,5,2.994053957544416,2155.7188494319794,0,0
zsre,v0_stable,5,6.537534183930563,4707.024612430006,0,0
